Pair,p-value
MKC-ALGN,0.013952804572189163
MSI-AMP,0.013964148383941714
MNST-WTW,0.013969838387742028
ITW-ROST,0.013984412634366733
ICE-WM,0.013990160921488658
IEX-ADBE,0.013993404034658352
DUK-TXN,0.013994861182292111
TYL-QCOM,0.014001054045378531
DUK-FDS,0.014019555116308475
JNJ-HSIC,0.014024121757202144
TRV-PANW,0.014032598393987185
SRE-ULTA,0.014032941343598995
SBAC-IEX,0.01403423551626792
CAG-CMCSA,0.014045189015568617
WM-SCHW,0.014045488352117393
ALL-MPWR,0.014052939815841919
AON-TYL,0.014066576327084598
LEN-TPL,0.01406941215741109
USB-OMC,0.014069550821739607
PNC-APD,0.014086660360070778
CHTR-BBY,0.01409790165907044
DUK-CSX,0.014098241945582268
TRV-BLK,0.014103713563610959
APO-KKR,0.014110611293771351
ALL-SYK,0.01411312076289096
EW-HUM,0.014116383811376726
CINF-HON,0.014117958622810687
MET-EXPD,0.014132649835228722
WST-QCOM,0.014139145047648734
PG-DPZ,0.014160340240009523
NDAQ-ROL,0.014164673190521261
HSY-IEX,0.014178508934487235
PG-NOC,0.014181575525981028
CI-ADI,0.014184867823307199
ABBV-MSI,0.014195050488841203
AON-AEP,0.01419542961070922
DVA-AMGN,0.014196480904653436
VLO-VMC,0.01420240932757514
HSY-EFX,0.01421227262101562
PNC-CSGP,0.014214643028143686
TRV-LII,0.014230943315428842
PKG-EG,0.014244381977682102
WM-BR,0.014247596779407953
AMT-JKHY,0.014253373033649177
GOOG-DGX,0.014255021220075057
IDXX-AVY,0.014261221565578814
AMZN-WM,0.01426148486755539
TGT-EL,0.014288904674861137
EBAY-WEC,0.014291719405198437
ED-WAB,0.014302065096419627
FAST-ERIE,0.014313548846517648
NSC-EFX,0.01432364831472689
EXPD-NDSN,0.01433261589994246
A-EXR,0.01433644725745888
MTB-ESS,0.014338291618298818
VRSK-BR,0.014340420268433676
DHI-ROL,0.014340430051593751
CL-NXPI,0.01435619292102886
RSG-BX,0.014357005430581774
FDX-YUM,0.01435788063730996
NDSN-QCOM,0.014360669475204993
SHW-NOC,0.014371715020813523
GPN-MDT,0.014378465575674427
HOLX-UNP,0.014378936790911349
RSG-LYV,0.01439180954023875
JNJ-YUM,0.014403119532217347
STX-WELL,0.014416710506781127
SO-HCA,0.01442437820970866
AEP-PKG,0.014425329021198691
ITW-IDXX,0.014425363611759234
VRSK-LOW,0.014431867692827614
FDX-WAT,0.014432156916466259
SYY-LH,0.014444657025655425
TXN-LOW,0.014444806217909188
CINF-NI,0.014446465400256618
RMD-A,0.01444683458232587
DOV-NVR,0.01444994776381525
COST-CDNS,0.01445562054031656
EXPE-LNT,0.014457215936845175
STE-PODD,0.014462779498324939
SHW-PNC,0.014466106127631087
AME-TYL,0.014472858456488269
NTRS-DPZ,0.014490796230928391
QCOM-AMGN,0.014490834658838084
MDLZ-GPC,0.014491494136739433
MLM-IT,0.014504126596401178
HOLX-NEE,0.014505144477906027
PEG-SYK,0.01450951871057885
SPG-VTR,0.014509817299751078
PNW-HAS,0.014512920741345779
ZTS-NSC,0.014517704810154752
AON-TXN,0.014519962069269799
STE-SPGI,0.014523347459805516
PG-AON,0.014523446250612132
BX-MU,0.014547844383636361
STX-PKG,0.014553384172232422
AJG-ADI,0.014561585451719629
LHX-ALLE,0.014564698830403356
CI-EXR,0.014567853399591485
ORLY-SNPS,0.014571245818306015
AAPL-PGR,0.014577592828112778
WM-AON,0.014579113613129677
CEG-BR,0.014584687869453276
PKG-TJX,0.014584961524858202
CL-ANET,0.014591269308813415
ROP-AEP,0.014595850039501616
TSLA-AJG,0.01459799525914028
IEX-TMO,0.014599783074566467
ROST-JKHY,0.014600366323800984
IT-LRCX,0.01461893159513279
TGT-KMX,0.014622320442249488
CMG-TPL,0.014637153691951966
CSGP-ADBE,0.014637632255821008
MAR-ATO,0.014640476213064484
IRM-L,0.014653449155076033
NTRS-NEE,0.014658668983454384
AME-RMD,0.014660113771478023
FDX-VLO,0.014666179673690693
QCOM-ADI,0.014668983415906355
PG-STE,0.014676373393863174
PYPL-SQ,0.014676872492191725
ZTS-EXPD,0.014677331674970965
ZBRA-DHR,0.014688702162476436
MET-DGX,0.014691129333751513
CSX-ROK,0.014692960654360501
SCHW-MU,0.014704176173646702
ECL-DVA,0.014705610384107452
CDW-ACN,0.014712140152041333
TDG-MSI,0.014715715908565
PG-LMT,0.014716216819735542
MTB-AVB,0.014721049266971637
TYL-BLK,0.014724396787821403
APD-DRI,0.014737719972195001
REGN-OMC,0.01473784134061543
CSX-ED,0.014742899044403901
PNC-WTW,0.014747698531920867
ROST-EFX,0.01474866762906615
MSFT-GOOG,0.014752492775077985
MA-TDY,0.014762005683965802
A-PKG,0.014770654846396862
JBHT-EG,0.014780493505094645
ZTS-JBHT,0.014795716444848247
PAYX-TPL,0.014799422347026995
AWK-HOLX,0.014799641201596435
SNA-VRTX,0.014801122981255129
GPN-BBY,0.014807707358341426
SYF-FFIV,0.014810737641405645
PTC-LOW,0.014843095710654348
VICI-HON,0.01485017545418481
COST-WRB,0.014853121857139615
STX-CINF,0.014857047001769654
PEG-EBAY,0.014863486422591318
APO-HCA,0.014868039714453092
CMI-DGX,0.014869128703159389
AON-TSCO,0.014873496878240704
GOOGL-QCOM,0.014875207150562378
NVDA-NRG,0.014875645673213402
TSLA-PLD,0.014879145912218802
HD-DUK,0.014879633584829896
COST-EMR,0.014886230282759812
NVR-AIZ,0.014886652217836667
ICE-TJX,0.014893648260781092
MDLZ-PKG,0.014902322976446154
NXPI-MET,0.0149079502344235
LEN-DECK,0.014912132876233735
SHW-LOW,0.014915235008763982
OKE-CMI,0.014929360552146699
SPGI-DE,0.01493732769680492
PAYX-DOV,0.01494298816192186
EQIX-CB,0.014949014500361013
COO-KMX,0.014954211924583731
SO-TSCO,0.014959035035738425
DLR-TTWO,0.014959980786779768
WRB-PTC,0.01497760115129957
CTAS-AJG,0.014981483110317077
STE-HON,0.014987586629927316
EQIX-HSIC,0.014992177177678211
TRV-DRI,0.014998391887300549
FAST-WTW,0.015006868855376053
ED-DGX,0.015007356794200195
HLT-PANW,0.015010507117797719
CMI-PEG,0.015012072114353132
TECH-NKE,0.015012432033521305
NSC-CINF,0.015024937662881262
HD-ADSK,0.015029749572020211
AEP-PTC,0.015030175554389544
MLM-ADP,0.01504277635413584
CI-PNC,0.015054678396949236
VICI-ADI,0.015056634911500501
ULTA-LH,0.015056716899995047
LULU-HOLX,0.015059059260544414
TSCO-VRTX,0.015065046836965421
TSN-CAG,0.015072396953730553
CLX-PNW,0.015075029176456449
MA-SYK,0.015078752695005556
MET-AIZ,0.01509192810808282
EQIX-HSY,0.015113755979668025
PG-MPWR,0.015128169532270141
DELL-VMC,0.015129363431184827
TDY-ALLE,0.01513109191511103
PSA-ULTA,0.015136201232678401
FDS-NEE,0.015136338269348565
TTD-TSCO,0.015141146928680882
NVR-PGR,0.015152492425216466
EMR-NWS,0.015159464301727123
CME-LHX,0.015168795894598686
AON-VRSK,0.015171691397473137
NSC-TRMB,0.015178496945814251
EW-IQV,0.01519071625503921
DUK-TYL,0.015191198829091718
CI-TXN,0.015193866095919946
LHX-SCHW,0.015196593770046753
GOOG-AME,0.015198160706850117
FAST-LYV,0.01520101047550023
NOC-VMC,0.015202509068064222
PNC-CSX,0.015204280247026188
HOLX-MOH,0.01520675252271575
ABBV-SRE,0.015208739744496247
NFLX-LII,0.01520921818156769
HUM-ALGN,0.015212058700810495
WMT-LDOS,0.015215787694488966
AAPL-GOOGL,0.015227476906782876
CTAS-CBRE,0.015231560991392513
ICE-EMR,0.015233742451734427
AMAT-VRTX,0.015237537616507004
GOOG-NXPI,0.015238969603432935
NSC-A,0.015247399443665783
CMG-IR,0.015261056699939116
IRM-PGR,0.015262180622979094
FFIV-FOXA,0.015270128037014944
WMT-ETN,0.015276407074886218
ZBH-AKAM,0.015281350593500418
DGX-BX,0.015286965275885661
DUK-CHD,0.015296153410586488
SBAC-TROW,0.015302265143403455
EBAY-GEV,0.015303415044687243
NSC-HOLX,0.015305383676437455
COIN-DPZ,0.015316252131155577
ED-CBOE,0.015333855454696368
TSLA-TDY,0.015336989596766912
BBY-PAYC,0.01533963744680304
SCHW-ISRG,0.0153448462379705
SBUX-DLR,0.015351210716568767
ECL-DTE,0.015353533185973716
MDT-NKE,0.015362148801843499
GPC-EG,0.015367621846331392
ITW-ERIE,0.015385460176010024
DRI-DGX,0.015397388468615452
TTD-NDSN,0.015402404687899105
ZTS-HON,0.015405664781140952
DUK-AON,0.015411284492446787
SYY-STE,0.015414166733622883
CDNS-ORLY,0.015414733549707993
BLK-CB,0.015415417035069713
BRO-QCOM,0.01541623094758737
NSC-CSGP,0.015418399618272974
AMD-INTU,0.015425448956651214
TMO-QCOM,0.015440266350849746
ROK-COO,0.015453291009897029
SYY-TMO,0.015455271740562172
ROK-ULTA,0.015456712573995416
IQV-TXN,0.015467698374256517
ABBV-ADP,0.015470258485469245
TSLA-MCO,0.015475701472547773
LHX-LH,0.015476213804414662
LYV-J,0.015476554997022184
TEL-LYV,0.015481847992670278
VRSN-ZBRA,0.015486548151969958
CINF-COF,0.015486966636635796
MCO-SHW,0.015491204960081493
PAYX-MPWR,0.015492629520782182
AON-ACN,0.015495964798992214
NTRS-GL,0.015510711248142267
IRM-PANW,0.015530729000067977
KEYS-TMO,0.015531431777279284
CMI-EFX,0.015537260194692199
WRB-LII,0.015543140051480397
NVR-DE,0.015564252913827377
TER-LOW,0.015566159526311765
WTW-FDS,0.015570316994594692
CSX-JKHY,0.015572310718091086
CBRE-BSX,0.015577143394837996
AMGN-CB,0.015584832036080666
NWS-COF,0.015599013801244246
MSI-PGR,0.01560298983642255
BRK.B-SPGI,0.015606525513530404
SWK-CAG,0.015614851423007869
IT-ON,0.015619700015099902
AMD-AXP,0.015631153072243647
RMD-TRMB,0.01563866569118661
YUM-WEC,0.015643085992867747
PAYX-QCOM,0.015643448432607607
IFF-BIIB,0.015646187619909803
ATO-DRI,0.015658707586897348
CEG-PH,0.01566292504511306
AMGN-ADP,0.01566875279822251
WM-EMR,0.015669760867290588
MDLZ-DGX,0.01567740303206909
XEL-RMD,0.015677751910211157
ROK-BLK,0.01567930836174819
PPG-INCY,0.015683176952492755
ZTS-CSX,0.015686224938457106
TGT-NEE,0.01569280050601446
SHW-CHD,0.015693931893946148
ED-SCHW,0.015694982160911603
BRO-APH,0.0157015340296531
FDX-MCHP,0.015702645340060665
GOOGL-BR,0.015706411415694007
PNC-DLR,0.015710241379236583
REGN-NXPI,0.015711051861927575
ALL-CBRE,0.015725014856621283
AAPL-TTD,0.015733583587695745
TDG-KLAC,0.015740665436066243
INVH-TER,0.015746994879363874
RMD-CHD,0.01575104224080153
OMC-AMGN,0.015753277906631225
FDX-MTB,0.015756460671892993
RMD-ERIE,0.015766001147034657
HCA-AMP,0.0157686477623151
MAR-KR,0.01578097679006047
CDW-PARA,0.015794179676431586
NOC-MLM,0.01579569180811926
PSA-WAT,0.01579616421933734
APD-XEL,0.015796563159080644
ADSK-PEG,0.015802210077939843
AEP-XEL,0.015805782309572636
LII-BKNG,0.015816512731711738
MAR-NDAQ,0.015826424135967607
GWW-DHI,0.01584610268076287
LMT-ROP,0.015850066506876714
NSC-ED,0.015856020767512226
TGT-SBAC,0.01585872356265217
CDNS-SNPS,0.015870437490164774
ITW-JKHY,0.015874015130625117
RMD-AMGN,0.015874177485945364
MAR-SPGI,0.0158748339662309
STLD-PANW,0.01587822551261309
CSX-CSGP,0.015888438014149974
DAL-GILD,0.015913304346817418
NDAQ-DRI,0.015919876395043185
CARR-NTAP,0.015932147082378185
PHM-PANW,0.015938090233624514
MET-PKG,0.01595444475054681
STX-ISRG,0.01597671623080062
KO-MCD,0.015983037486174384
CPRT-QCOM,0.016004713083547277
ED-IEX,0.0160108078433309
JNJ-HOLX,0.016011208785340732
PNC-SCHW,0.01601400403595928
CHD-DPZ,0.016018008742357637
INVH-WST,0.016018063842522665
MNST-HON,0.01602156425941862
ROP-DGX,0.01603573791024843
SRE-JBHT,0.016040861643942684
ELV-ODFL,0.016044956935250675
TER-SCHW,0.01605720736105755
AMT-NKE,0.01605849689809235
LYV-ERIE,0.016065513189232827
DECK-CB,0.016074349016322514
MKC-UNP,0.016076979580852205
RSG-PGR,0.016091865970343816
LH-AMGN,0.016093254995641963
FDX-DTE,0.01609328060639246
VLO-PFG,0.016107678407771546
PNC-ITW,0.016110654415424593
JKHY-UNP,0.01611932741496241
MSCI-LH,0.016121121603567656
COR-WAB,0.01613849105019887
NSC-JKHY,0.016145668924549758
PPG-APTV,0.016159484147547705
DLTR-GL,0.016166958172751624
FTNT-TPL,0.016167122172268237
NSC-PEG,0.016168722426425888
MNST-SCHW,0.01617114728177587
TYL-NVR,0.016197411993295545
PG-ODFL,0.0161997880695031
PEG-MLM,0.016204936232562663
PEG-VMC,0.016205164964290992
ALL-ROL,0.016206860072994645
NXPI-LOW,0.016208411498784586
NWS-KKR,0.01621157915091466
CEG-HUM,0.016213465624697436
UDR-MDT,0.01622746174937635
CSX-EFX,0.016236650082206653
SBUX-WDAY,0.016236767393719372
CDNS-PANW,0.01624046689359703
PNC-AWK,0.01624810899171243
RJF-TSCO,0.016252984531722345
ITW-LNT,0.01625942230948989
GPC-WAT,0.01628905821950695
CVS-INCY,0.016305702869715995
HD-ALL,0.016314877196394125
EW-VRSN,0.016319734224847143
MA-ERIE,0.016322833420457542
PKG-TXN,0.01633021003204364
EQIX-SCHW,0.016337784708566325
STLD-LRCX,0.016356976056144574
PAYX-EFX,0.016367372658919636
ICE-PTC,0.01638375996535607
DTE-SCHW,0.016388358841308702
EBAY-HON,0.016415208742649984
AAPL-TSLA,0.01643973481012824
HD-XEL,0.01647129628473188
TEL-TRV,0.016474728132142125
MCHP-WTW,0.01648074630827949
SYY-ATO,0.016484630326396604
AFL-SNPS,0.016490075622146834
MLM-SPGI,0.016505679114746225
ROK-TDY,0.01654541613766119
XEL-STE,0.01654695682122211
ELV-HOLX,0.016551230019285185
PLD-EXPD,0.016564332559153214
V-DGX,0.016575021934759845
KDP-VRSN,0.016576034182583504
XEL-SCHW,0.016584497275495644
MET-CB,0.016600574741554987
PPG-EPAM,0.016603826961461076
ALL-EBAY,0.016611774192829512
TSLA-WM,0.016620548093300706
PRU-OMC,0.01664551214840688
MDLZ-TER,0.01665299187447988
REGN-NDSN,0.016655156084839935
JNJ-EXPE,0.016669548200148668
DRI-SCHW,0.01668519832293289
MCO-PGR,0.016697055236310137
ICE-WRB,0.016704215047689056
WST-TECH,0.01670461579673468
ZTS-DXCM,0.01670490936848011
ITW-PKG,0.016705001985175993
BBY-RVTY,0.016708660124376076
BBY-RVTY,0.016708660124376076
PRU-DD,0.016709006612832193
NTRS-CINF,0.01671201062432102
SRE-UNP,0.016715295044384113
AMZN-DHI,0.016720795710650407
BR-MAS,0.016724877119366193
APD-MKC,0.016726448892161364
ROP-XYL,0.016732806201726604
LHX-IEX,0.016755263966887347
TPL-LDOS,0.016780187411859326
EOG-GIS,0.01678071470660912
WDAY-TXN,0.016786025730186886
EXR-CHRW,0.016790529670236688
ZBH-MKTX,0.016793665326328883
VRSK-LYV,0.016806231396357094
ABBV-CPRT,0.01681362006651505
V-MA,0.016829339534714712
REGN-CHD,0.01683334061791159
HCA-J,0.016834993839676817
ULTA-CHRW,0.01683845606132886
COST-SNPS,0.016843569972227773
AME-ROK,0.016847873032158213
ALL-TYL,0.016849873866452644
RMD-UNP,0.016868410228684433
WRB-TPL,0.016869290315970824
FDX-MAA,0.016880281706972613
DLTR-MAA,0.01688206292099801
STX-SNA,0.016887643228651075
APO-AZO,0.016894591006243357
PG-ERIE,0.01689522353087055
DE-LOW,0.016897968410387158
BDX-MKC,0.016899643596813996
PEG-SCHW,0.016902337191989237
BRK.B-EFX,0.016905080068163936
EXPD-NEE,0.016909238641684546
XEL-EBAY,0.016917891852870553
WDC-CTRA,0.01692305338556759
EFX-VRTX,0.016943623145427508
NOC-WTW,0.016954641528184648
JBHT-NEE,0.016960746681539244
SO-HUBB,0.01696513084493703
JKHY-AOS,0.016969039610919116
SYY-TXN,0.016969301525275832
EQIX-CMI,0.016969354597255692
BR-ERIE,0.016977163750694763
BRK.B-CMI,0.01697787040169503
NTRS-MAA,0.016979371492015144
CMG-PHM,0.01698077106246227
LYV-MU,0.01698291711198911
ODFL-A,0.016999781214268896
CHD-ULTA,0.017004444051064795
ICE-PAYX,0.017006088064643342
ITW-NDSN,0.01701812190587029
MPWR-SYK,0.017025084665859364
BALL-MDT,0.017027911440709413
WTW-LH,0.017035807701097607
SO-TRV,0.017036377080951653
MSI-URI,0.017040701790371662
GOOG-TEL,0.01705285929972518
PSA-EMN,0.017059508464624826
TRMB-NEE,0.017064055896501618
CI-A,0.017068945543709912
ERIE-BX,0.017084296493454405
DUK-ADI,0.017096694038052602
MDLZ-DLTR,0.017106421748384826
SPGI-VRTX,0.01710787442902514
ERIE-J,0.017124032198274648
XEL-SBAC,0.017124689075020537
ROST-PKG,0.017136259175850387
NTRS-DRI,0.01714064133615817
AJG-CBRE,0.01714071310757651
AEP-ROL,0.01715367364972321
AFL-ADI,0.017155394515848035
TROW-MKTX,0.017163202749823903
PCAR-BRO,0.017170831217023695
MCHP-ULTA,0.017176690987583308
HCA-PANW,0.017179043011927252
MAS-SCHW,0.017188890237563693
PEG-ALLE,0.017189356836774642
YUM-DTE,0.017191643221238215
PODD-NEE,0.017194260521939165
EG-NDSN,0.017209484512870386
PAYX-BRO,0.0172252320859442
CBRE-RJF,0.017241717350949277
HD-DDOG,0.017248472153141785
BIIB-EMN,0.01724925960509718
BRK.B-NFLX,0.017250908850799256
TEL-NDAQ,0.017271494655312566
HOLX-IEX,0.01727212208661504
ECL-CMI,0.017285956260795928
MDLZ-LH,0.01728850312682845
MSCI-RMD,0.017293319233132737
CEG-CBRE,0.017301445203174688
GOOG-SO,0.017305948644850536
A-IEX,0.017312057334386018
SCHW-VRTX,0.017314500816220817
MAS-ADI,0.017317193030564153
CINF-TJX,0.01732196665159978
CDW-AMGN,0.017329298549308005
TTWO-SPGI,0.017338588452001744
SRE-DPZ,0.01734219009356475
DXCM-IQV,0.017345513933848724
GOOGL-AZO,0.01735244279602828
CTSH-PNW,0.017356482524408526
TYL-STE,0.017367466215955054
EMR-DHI,0.017367954384603715
AEP-ALLE,0.01736827970122488
EW-PAYC,0.01736880349669268
MCO-BR,0.017368892718459487
MDLZ-TXN,0.017371102411887496
COST-CBRE,0.017378832854256974
TTD-ACN,0.017391990805046064
LH-ALLE,0.017396593301319006
PG-MLM,0.017410665087043392
TTWO-ROL,0.01743610121358471
EXR-NDSN,0.017439727602814196
BRK.B-KKR,0.01744519563030973
ROL-SNA,0.017446396876502783
JKHY-RVTY,0.017448880632704073
JKHY-RVTY,0.017448880632704073
KEYS-LNT,0.017450154651212503
APD-DGX,0.017453595925834932
OTIS-NTAP,0.01745524956066302
VMC-PTC,0.01745704214076353
V-LYV,0.01746228581454175
MDLZ-SRE,0.017464541313261424
DUK-RJF,0.01746815525395429
PLD-RMD,0.01748232297907209
SMCI-ANET,0.017485335320685406
DUK-LNT,0.01748744627929776
RJF-LRCX,0.017492852022420947
MKC-ADBE,0.01749461303032071
ED-HOLX,0.017494810011681454
NVR-LDOS,0.017497824028471203
TTD-STE,0.017500379295092718
REGN-IEX,0.017520583810361614
KMB-CLX,0.01752343267499341
SYY-VRSN,0.01752805160967896
CI-PTC,0.017534137508299553
EMR-KR,0.017534164661739543
ULTA-PFG,0.017546622229594203
GPN-NKE,0.01754731126235963
NXPI-DVA,0.01755030989601691
JNJ-DGX,0.017550619560829487
VLO-EFX,0.01757013321928395
RSG-KLAC,0.017572741634564775
LHX-TYL,0.0175755073944787
MET-DHI,0.017576941888888687
ELV-ON,0.017587133172676843
APD-DHR,0.017587515478392997
DXCM-ZBRA,0.017593791080041526
EOG-OKE,0.017594706612565784
KMB-EMN,0.017596841628273335
RSG-LDOS,0.017597844205784315
KMB-COO,0.0175992100924018
BKNG-WELL,0.01761248461338112
MTB-LNT,0.017613749340547605
REGN-STZ,0.01762092443428071
HD-PNC,0.017624709244065284
AIZ-SYK,0.017634560868417328
EW-AKAM,0.017644369927629848
LYV-LDOS,0.017656962243263
AEP-CPAY,0.017669543304104744
BRK.B-SCHW,0.017681869569754358
SBUX-REGN,0.017682838834749304
COIN-ADSK,0.01769313889464006
AMT-UNP,0.01770327877921526
WDAY-VRSK,0.017717580034269185
XYL-GL,0.017729884120064827
PG-DRI,0.017734395341244283
DLR-WEC,0.017737975992806486
WEC-JBHT,0.017744926976904246
CINF-DGX,0.01774691932688342
NSC-UNP,0.01776069411219001
LHX-MKC,0.01776379271751876
AMZN-ADP,0.01776887000622956
NDAQ-DE,0.017773007236647848
TSN-HAS,0.017791427487421886
ECL-WDAY,0.01779211983828962
RMD-ROL,0.017793097728810416
MNST-LOW,0.017797377406291108
VMC-SCHW,0.01779787338873018
PEG-EXPD,0.0177998756814957
PG-ON,0.017800587823168814
STE-WST,0.017809040143771
MSI-WSM,0.017819907527811606
LMT-COO,0.0178251162751824
AON-WRB,0.017827187204145674
BR-ADP,0.017838543141007232
EW-JKHY,0.017842261835800302
SO-EBAY,0.017846686508932605
WM-SYK,0.017846830497364248
V-SO,0.017848800499315514
WAT-MOH,0.017854685051875728
COST-AFL,0.017856717830893404
CINF-LNT,0.017866962117531693
AWK-NDSN,0.017868889776555128
CINF-ISRG,0.017875884403585132
PKG-SNA,0.017878227709129252
NVR-SPGI,0.017898710327987857
DHI-BX,0.01790982037782899
CSGP-ZBRA,0.01794051446830268
MCHP-ROL,0.01794207336882543
WRB-PANW,0.01794557627341371
LHX-TTWO,0.017956190000306845
CTSH-SJM,0.01796038431954779
TPL-BKNG,0.017971555989210523
SYY-EG,0.017972028228120832
JNJ-AWK,0.017979466268377643
ZBH-INCY,0.01799049532433861
EW-MTD,0.017997558828206955
HCA-PAYX,0.01799762345875639
HIG-BX,0.018004824457798288
BRK.B-HCA,0.018008554173255743
ELV-IPG,0.018009007828547655
NOC-ROL,0.018009646623073004
FOX-WELL,0.018019267273432112
EMR-AJG,0.01802198206820575
CTAS-ORLY,0.018028571673771712
ABBV-ALL,0.01804407034321366
ADM-ON,0.018044471686562452
FDS-HOLX,0.0180541449421822
ICE-MAR,0.018055774686127006
AAPL-ADP,0.018059836237765338
FDX-ROST,0.018066315030341562
DECK-QCOM,0.018067780656090892
DLTR-CNC,0.01807189181703411
MNST-RMD,0.018078504618526357
DUK-GD,0.018082173475748163
ADSK-WDAY,0.0180875261926081
PCAR-TJX,0.018087738433969672
PSA-JBHT,0.01809294813610397
PG-MNST,0.01810036848486067
NUE-QCOM,0.018109455389545923
LYV-SYK,0.018109835744211326
VLTO-LDOS,0.018113746137076142
DLR-DGX,0.018119573667898823
TDY-TYL,0.018120666621711412
YUM-CINF,0.018127211919372894
ADSK-AWK,0.01812848228453158
HSY-TMO,0.018148100411575063
MTB-DTE,0.018148610572551068
MMC-WTW,0.01815130141508307
SNA-ANET,0.018172629606606455
TYL-DRI,0.018181847967746145
GM-CFG,0.01818560283503862
SHW-MCHP,0.018188756789475697
BRO-IT,0.018189870227666195
MDLZ-DXCM,0.018192903855591594
EW-TECH,0.01819529125132237
ICE-LH,0.01820867317444055
ELV-IQV,0.0182170099591211
PNC-LH,0.018220044488749986
TDY-TXN,0.018221813233172533
AFL-TJX,0.01822220462772547
MET-L,0.018227866180953636
CARR-IRM,0.018240907529801533
A-CHD,0.018247564111409022
DUK-MDLZ,0.018260405012566927
APO-GWW,0.018270138132106258
AWK-MTD,0.01827157944807313
GOOG-DHI,0.018272753657230897
MDLZ-HOLX,0.018273346278422854
CL-CMI,0.01827648012772061
APD-PODD,0.01828097236027838
EQR-SJM,0.01829607249141991
AAPL-MMC,0.01829705699163531
VRSN-ADP,0.01830067768583511
FDX-IEX,0.01830922765989371
TRMB-BLK,0.0183142780204017
HCA-WRB,0.01831963654721552
IDXX-ZBRA,0.01832601803262767
MNST-EG,0.01833159091989641
PNC-AEE,0.018333607711102776
BRK.B-RSG,0.018349690257037556
TEL-ADP,0.01835227173311018
CHD-QCOM,0.018356929313823604
AAPL-LDOS,0.018358355564738752
SYY-KEYS,0.018362401692622085
ODFL-PTC,0.018371304799608575
JCI-PTC,0.018379328584957937
ETR-FOX,0.018379862405570647
AMT-CSX,0.018384344332264324
ROL-AIZ,0.018386818314717904
TEL-COF,0.018387987862099255
SYY-TYL,0.018397430079867057
PLD-ELV,0.018401257423987776
CPRT-MU,0.018427201799226734
DTE-EXPE,0.01845181225123441
DRI-TJX,0.01845351976861232
ADSK-LNT,0.01845478082257458
PG-CMI,0.018455593912869588
MSCI-LRCX,0.018458072037156048
BRK.B-ROK,0.01846339287478225
ADSK-XYL,0.0184913121038025
BBY-TMO,0.018492777874655707
TPL-BSX,0.018493868722010788
SCHW-AMGN,0.018493929175929454
PG-ROST,0.01849864958394776
LHX-ACN,0.018501763829841544
ROK-LOW,0.01850672478247948
TSLA-EBAY,0.018513448190895166
ABBV-PEG,0.018524613065586643
NFLX-CEG,0.018540471408420686
MOH-TECH,0.018559542875476294
ABBV-NVR,0.018559970151383647
SO-TRMB,0.018561860442235813
EVRG-HON,0.018568038238553432
CI-ATO,0.01857191311019682
ABBV-URI,0.018579771870805818
AMT-ZBRA,0.018598266809825004
ICE-DPZ,0.018607481887844248
AWK-DPZ,0.018608584625686875
IDXX-QCOM,0.018614664986438906
NDAQ-AIZ,0.018616836721996963
BBY-DHR,0.018621178554699767
TMO-TXN,0.018621286196992076
PNW-AOS,0.01862480460413721
CSGP-VRSN,0.01864703344024689
A-UNP,0.018648005712969446
USB-UHS,0.018663633335041348
EMR-IRM,0.01866555200716976
NTRS-EVRG,0.01866893774711276
CBRE-BRO,0.01867873958613162
TEL-AIZ,0.018685836095767724
DUK-YUM,0.018698688269254686
MET-ACGL,0.018700449380064477
QCOM-TXN,0.018705757342140677
TMUS-LIN,0.018706639599066613
ADSK-QCOM,0.01870773067956267
MDLZ-AON,0.018708353928741966
TSCO-ADP,0.018712786420414865
DHI-MU,0.018713973399771898
DHI-DE,0.018714955108293754
URI-SMCI,0.018717784604977875
LHX-AIZ,0.018724699060301005
TRV-PNR,0.018726209276295806
SPGI-MU,0.018731935450501763
ICE-COF,0.018732817458061823
AON-TEL,0.018737226872245688
TDY-CINF,0.018768878912645268
VLO-DHI,0.018771701090254504
LYV-VRTX,0.01877870662491629
CME-NTRS,0.018785833206666405
EQIX-SPGI,0.018790136539820302
MTB-HII,0.018810504896413057
DUK-PAYX,0.018812658254231313
VLTO-FE,0.018813916852892878
JNJ-ITW,0.01881776283821187
ES-NKE,0.018830150258461284
CI-VMC,0.018834710964320524
JCI-CBRE,0.018835378108534865
XEL-ROK,0.018867052773974803
ABBV-RSG,0.018871849545996133
AWK-BBY,0.018877865752227375
PAYX-AMAT,0.018880166183854078
RSG-VMC,0.01889079347788975
USB-BALL,0.01889095843398179
AWK-COO,0.01889406346703832
ES-TSN,0.018908066828810435
BRK.B-TSCO,0.018909464786056478
PLD-MTD,0.018909932717200477
WMT-APO,0.018910470734369886
PYPL-CHTR,0.0189187703319684
FAST-BKNG,0.018920975377615168
ZBH-UDR,0.01892414847088175
AEE-CINF,0.018934140430766383
VLO-CB,0.0189380428523979
SHW-DRI,0.01897249084712886
AEE-ULTA,0.018973182389326854
NXPI-PKG,0.01897947655239041
PNC-FDS,0.018981024325478716
CSX-TMO,0.01899378224441967
NSC-MNST,0.01900356379402
WEC-FFIV,0.019020319851595004
INCY-HSIC,0.019022187088779972
STE-AIZ,0.019030582223553815
ITW-SYK,0.01903280346117539
PNC-MTD,0.019041385900833263
STX-BX,0.019042492874438217
