pair,entry_date,exit_date,days_held,exit_reason,pnl,pnlcomm,size_s1,entry_price_s1,exit_price_s1,size_s2,entry_price_s2,exit_price_s2
CARR-KKR,2025-01-28,2025-02-04,7,Z-Score Reversion,5767.17216676438,5500.412593241646,853.4394633392603,67.3,63.88,-489.34845810617765,167.05,149.3
PCAR-IR,2025-01-07,2025-02-05,29,Z-Score Reversion,3122.8248188153375,2914.244872734676,-488.78594478688666,109.56,106.99,565.6499820342522,89.16,92.46
COR-PANW,2025-01-13,2025-02-07,25,Z-Score Reversion,5576.014376873827,5351.133754972606,-228.12025073666044,236.09,247.88,316.4453343437615,167.82,193.94
DLR-ALLE,2025-01-28,2025-02-19,22,Z-Score Reversion,4948.665518594818,4723.4372051055125,354.2400140787728,162.14,169.61,-416.3639445617296,132.11,126.58
CARR-VMC,2025-01-28,2025-02-20,23,Z-Score Reversion,3454.6401494150487,3223.0155654597133,853.4394633392603,67.3,67.11,-219.06684721075024,275.1,258.59
CEG-WRK,2025-01-17,2025-02-21,35,Z-Score Reversion,5475.242350737601,5369.967523699923,-170.61736974929826,316.36,284.44,29135.9083399934,0.047,0.048
CZR-CMCSA,2025-01-31,2025-02-24,24,Z-Score Reversion,5655.451678683385,5435.904700692601,-1571.9686070089933,36.05,35.04,1540.819464244055,33.66,36.3
CBRE-LYV,2025-02-24,2025-02-26,2,Z-Score Reversion,6291.0349786051665,6052.6785026148145,417.28434262466845,137.89,140.68,-411.4616101671211,154.62,142.16
DASH-DLR,2025-01-28,2025-03-07,38,Z-Score Reversion,-1327.4470868427961,-1520.0852009398754,-311.32568639347505,184.49,178.08,256.2100799248243,162.14,149.17
BBY-DAY,2025-02-05,2025-03-14,37,Z-Score Reversion,1488.5049863377499,1288.7859653920086,-657.8682037462888,86.48,71.49,789.1554559678723,66.0,55.39
CARR-ROP,2025-01-28,2025-03-14,45,Z-Score Reversion,-2710.6660366020296,-2941.6943175390443,853.4394633392603,67.3,66.53,-104.39845703257794,549.62,569.29
APO-HLT,2025-02-06,2025-03-18,40,Z-Score Reversion,-792.4666560159822,-997.099115615602,346.24965260620394,164.88,137.44,-200.93732836867227,270.39,227.05
ABBV-STLD,2025-03-10,2025-03-25,15,Z-Score Reversion,7124.536219357789,6925.547860719626,-262.6344968516824,216.66,201.34,360.5785729755838,119.4,128.0
APO-PANW,2025-02-10,2025-03-27,45,Z-Score Reversion,-1319.106299692161,-1524.6775477691315,353.63204544513457,162.17,142.03,-264.2551500716231,196.4,174.44
AAPL-TTD,2025-02-20,2025-04-08,47,Z-Score Reversion,2146.5140491568054,1989.2929643547898,-233.4920233810732,245.83,172.42,492.2565787015033,75.73,45.27
KMX-CZR,2025-03-28,2025-04-10,13,Z-Score Reversion,6922.180087626271,6745.210947857457,-756.7990558169347,75.99,66.45,1353.104113033089,25.67,25.45
AME-TTD,2025-02-21,2025-04-25,63,Z-Score Reversion,-3678.52613382856,-3855.1499447963733,-308.9540982260421,186.19,166.69,536.3809314116296,72.06,53.97
BRK.B-HLT,2025-03-18,2025-05-01,44,Z-Score Reversion,750.5874772945317,534.8482074751497,-109.74785105704592,523.14,530.23,217.14484961491405,227.05,234.09
CARR-HIG,2025-01-27,2025-05-01,94,Z-Score Reversion,-2021.7132328701628,-2267.145781743692,851.269918949622,67.43,69.8,-544.3696685688342,114.42,121.84
COST-HLT,2025-04-10,2025-05-01,21,Z-Score Reversion,3443.380209128867,3224.1423820359746,-59.961905564119355,964.31,999.04,228.62462512911603,209.92,234.09
HLT-CBOE,2025-03-18,2025-05-01,44,Z-Score Reversion,1344.4409457670336,1103.8941503413607,252.8671693546928,227.05,234.09,-281.1251138645178,219.66,221.21
DUK-KEYS,2025-02-27,2025-05-02,64,Z-Score Reversion,-6059.732950467551,-6279.943426292944,-495.03828033641713,115.89,121.58,334.67132459786853,158.21,148.52
AWK-NEE,2025-02-25,2025-05-08,72,Z-Score Reversion,-5732.396158550422,-5960.055311377312,-419.70471665529635,137.25,145.4,781.0144316924818,71.28,68.32
HLT-WRB,2025-03-28,2025-05-08,41,Z-Score Reversion,3052.014105485774,2793.5985221986575,254.79225666354552,225.71,243.18,-964.9700816733556,71.27,72.72
WRB-PANW,2025-03-28,2025-05-08,41,Z-Score Reversion,3060.106161034979,2847.0054969032844,-806.9196050446031,71.27,72.72,268.2396695212212,172.76,188.53
TT-KLAC,2025-05-05,2025-05-14,9,Z-Score Reversion,5600.704568420479,5373.2801345706,-145.42029017206042,402.9,419.66,71.95370720351102,693.29,805.0
